业务系统,工作流名称,子任务名称,开始时间,结束时间,执行时长
原仓库业务,WF_LX_ACC_CMS,,2020-10-30 11:53:42,2020-10-30 12:25:37,0:31:55
原仓库业务,WF_LX_ACC_CMS,fld_cms0102,2020-10-30 11:53:44,2020-10-30 11:55:04,0:01:20
原仓库业务,WF_LX_ACC_CMS,fld_cms_o0102,2020-10-30 12:05:02,2020-10-30 12:10:04,0:05:02
原仓库业务,WF_LX_ACC_CMS,fld_cms_e0102,2020-10-30 12:16:29,2020-10-30 12:20:29,0:04:00
原仓库业务,WF_LX_ACC_CMS,cut_pi_exit_s_linedesc_acccode0200,2020-10-30 11:55:05,2020-10-30 12:05:01,0:09:56
原仓库业务,WF_LX_ACC_CMS,cut_pi_exit_o_linedesc_acccode0200,2020-10-30 12:10:05,2020-10-30 12:16:28,0:06:23
原仓库业务,WF_LX_ACC_CMS,cut_pi_exit_e_linedesc_acccode0200,2020-10-30 12:20:30,2020-10-30 12:25:26,0:04:56
原仓库业务,WF_LX_ACC_CMS,trigger_next_workflow,2020-10-30 12:25:27,2020-10-30 12:25:29,0:00:02
原仓库业务,WF_LX_ACC_DQC,,2020-10-30 12:25:28,2020-10-30 13:10:47,0:45:19
原仓库业务,WF_LX_ACC_DQC,t80_od_dqc_result0200,2020-10-30 12:25:28,2020-10-30 13:10:46,0:45:18
原仓库业务,WF_LX_ACC_DQC,trigger_next_workflow,2020-10-30 13:10:46,2020-10-30 13:10:47,0:00:01
原仓库业务,WF_LX_ACC_T80_OD,,2020-10-30 13:10:47,2020-10-30 14:12:08,1:01:21
原仓库业务,WF_LX_ACC_T80_OD,t80_od_route0200,2020-10-30 13:45:02,2020-10-30 13:58:11,0:13:09
原仓库业务,WF_LX_ACC_T80_OD,t80_passenger_flow0200,2020-10-30 13:41:57,2020-10-30 13:46:22,0:04:25
原仓库业务,WF_LX_ACC_T80_OD,trigger_next_workflow,2020-10-30 14:11:57,2020-10-30 14:11:59,0:00:02
原仓库业务,WF_LX_ACC_T80_OD,t80_od_line0200,2020-10-30 13:10:47,2020-10-30 13:23:34,0:12:47
原仓库业务,WF_LX_ACC_T80_OD,t80_passenger_flow_modify0200,2020-10-30 13:46:22,2020-10-30 13:58:10,0:11:48
原仓库业务,WF_LX_ACC_T80_OD,t80_od_transfer0200,2020-10-30 13:41:56,2020-10-30 13:42:34,0:00:38
原仓库业务,WF_LX_ACC_T80_OD,t80_od_route_modify0200,2020-10-30 13:58:11,2020-10-30 14:11:57,0:13:46
原仓库业务,WF_LX_ACC_T80_OD,t80_od_line_modify0200,2020-10-30 13:23:34,2020-10-30 13:41:56,0:18:22
原仓库业务,WF_LX_ACC_T80_OD,t80_od_transfer_modify0200,2020-10-30 13:42:34,2020-10-30 13:45:02,0:02:28
原仓库业务,WF_LX_ACC_T98_OD_ROUTE,,2020-10-30 14:11:58,2020-10-30 14:15:54,0:03:56
原仓库业务,WF_LX_ACC_T98_OD_ROUTE,t98_od_route_dd0300,2020-10-30 14:11:58,2020-10-30 14:15:50,0:03:52
原仓库业务,WF_LX_ACC_T98_OD_ROUTE,trigger_next_workflow,2020-10-30 14:15:51,2020-10-30 14:15:54,0:00:03
原仓库业务,WF_LX_ACC_T98_AREAPASGR,,2020-10-30 14:15:52,2020-10-30 14:17:30,0:01:38
原仓库业务,WF_LX_ACC_T98_AREAPASGR,t98_area_od_pasgr_date_st0300,2020-10-30 14:15:52,2020-10-30 14:17:29,0:01:37
原仓库业务,WF_LX_ACC_T98_AREAPASGR,trigger_next_workflow,2020-10-30 14:17:29,2020-10-30 14:17:30,0:00:01
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,,2020-10-30 14:15:52,2020-10-30 14:22:12,0:06:20
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,trigger_next_workflow,2020-10-30 14:22:00,2020-10-30 14:22:03,0:00:03
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,t98_pasgr_date_st0300,2020-10-30 14:17:46,2020-10-30 14:19:23,0:01:37
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,t98_pasgr_date_cms_st0300,2020-10-30 14:15:52,2020-10-30 14:17:46,0:01:54
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,t98_pasgr_period_cms_st0300,2020-10-30 14:19:23,2020-10-30 14:20:34,0:01:11
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,t98_pasgr_period_st_e0300,2020-10-30 14:20:34,2020-10-30 14:21:40,0:01:06
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,t98_pasgr_period_st0300,2020-10-30 14:20:35,2020-10-30 14:22:00,0:01:25
原仓库业务,WF_LX_ACC_T98_PASGER_BASIC,t98_pasgr_date_st_e0300,2020-10-30 14:17:47,2020-10-30 14:19:36,0:01:49
原仓库业务,WF_LX_ACC_T98_PASGER,,2020-10-30 14:22:01,2020-10-30 14:26:06,0:04:05
原仓库业务,WF_LX_ACC_T98_PASGER,trigger_next_workflow,2020-10-30 14:26:05,2020-10-30 14:26:06,0:00:01
原仓库业务,WF_LX_ACC_T98_PASGER,t98_dec_pasgr_period_st0300,2020-10-30 14:22:01,2020-10-30 14:26:05,0:04:04
原仓库业务,WF_LX_ACC_T98_OD_ENTRY,,2020-10-30 14:15:53,2020-10-30 14:20:01,0:04:08
原仓库业务,WF_LX_ACC_T98_OD_ENTRY,t98_od_pasgr_entry_date_st0300,2020-10-30 14:15:53,2020-10-30 14:17:58,0:02:05
原仓库业务,WF_LX_ACC_T98_OD_ENTRY,t98_od_pasgr_entry_period_st0300,2020-10-30 14:17:59,2020-10-30 14:19:59,0:02:00
原仓库业务,WF_LX_ACC_T98_OD_ENTRY,trigger_next_workflow,2020-10-30 14:19:59,2020-10-30 14:20:00,0:00:01
原仓库业务,WF_LX_ACC_T98_OD_EXIT,,2020-10-30 14:15:53,2020-10-30 14:20:04,0:04:11
原仓库业务,WF_LX_ACC_T98_OD_EXIT,t98_od_pasgr_exit_period_st0300,2020-10-30 14:18:15,2020-10-30 14:20:02,0:01:47
原仓库业务,WF_LX_ACC_T98_OD_EXIT,trigger_next_workflow,2020-10-30 14:20:02,2020-10-30 14:20:03,0:00:01
原仓库业务,WF_LX_ACC_T98_OD_EXIT,t98_od_pasgr_exit_date_st0300,2020-10-30 14:15:53,2020-10-30 14:18:15,0:02:22
